"","Club","Shot_Shape","Sex","Club_Path_Angle","CPA_LB","CPA_UB","Lie_Angle","LA_LB","LA_UB","Attack_Angle","AA_LB","AA_UB","Club_Speed","CS_LB","CS_UB","Shaft_Lean","SL_LB","SL_UB","Face_Angle","FA_LB","FA_UB","Data_Points"
"1","7 Iron","High Draw","Male",0.6,0.443820965999204,0.756179034000796,57.498,57.243985863344,57.752014136656,-3.41923076923077,-3.54511666284296,-3.29334487561858,89.9725889268212,89.7681965473513,90.1769813062912,8.80791025641026,8.72193162181226,8.89388889100825,1.24173076923077,1.17954070600203,1.30392083245951,78
"2","7 Iron","High Straight","Male",-1.4,-1.53009886164483,-1.26990113835517,58.702,58.5035841472524,58.9004158527476,-3.85512367491166,-3.96541272978261,-3.74483462004071,91.0472513665072,90.8416523029163,91.2528504300981,9.71026501766785,9.62584732792199,9.7946827074137,-0.31043816254417,-0.362903701785647,-0.257972623302692,283
"3","7 Iron","High Fade","Male",-2,-2.07002343266387,-1.92997656733613,58.712,58.6165840796385,58.8074159203615,-4.01981981981982,-4.11209157376747,-3.92754806587217,92.0695570301869,91.8850829972245,92.2540310631493,10.2089099099099,10.1298191170251,10.2880007027947,-1.82663063063063,-1.85846048940591,-1.79480077185536,111
"4","7 Iron","Medium Draw","Male",-0.4,-0.510513886404918,-0.289486113595082,57.096,56.888797514325,57.303202485675,-5.08148148148148,-5.15910074914262,-5.00386221382035,86.2037368435006,86.0141489529689,86.3933247340324,10.7376296296296,10.6571744750684,10.8180847841909,0.999037037037037,0.958258092468097,1.03981598160598,27
"5","7 Iron","Medium Straight","Male",-1.3,-1.42230149010361,-1.17769850989639,58.185,58.0312296665594,58.3387703334406,-4.95301204819277,-5.02558866229265,-4.8804354340929,86.3566829954032,86.1762046096468,86.5371613811597,10.8836927710843,10.8107001254964,10.9566854166723,-0.290879518072289,-0.335143545336201,-0.246615490808378,166
"6","7 Iron","Medium Fade","Male",-2,-2.06264510295633,-1.93735489704367,58.308,58.2092387521317,58.4067612478683,-4.94102564102564,-5.00862924640932,-4.87342203564196,87.7962793440156,87.5836462752347,88.0089124127964,11.2620769230769,11.1837192651116,11.3404345810423,-1.81264102564103,-1.84260822052667,-1.78267383075538,78
"7","7 Iron","Low Draw","Male",-0.4,-0.471418431236351,-0.328581568763649,57.457,57.3532179543815,57.5607820456184,-5.7,-5.74874340075997,-5.65125659924003,82.3974240435855,82.2127970967372,82.5820509904337,11.79,11.7224953603174,11.8575046396826,0.840555555555556,0.812705591344879,0.868405519766232,18
"8","7 Iron","Low Straight","Male",-1.4,-1.47355796045394,-1.32644203954605,57.164,57.036877608889,57.291122391111,-5.69911504424779,-5.76454041864039,-5.63368966985519,83.4864018028519,83.305396200308,83.6674074053958,12.3848230088496,12.2674640383968,12.5021819793023,-0.423115044247788,-0.460813394076579,-0.385416694418996,113
"9","7 Iron","Low Fade","Male",-1.6,-1.66602012969928,-1.53397987030072,57.439,57.3305772434681,57.5474227565319,-5.63673469387755,-5.70004575781054,-5.57342362994457,83.9086672607482,83.7041729331565,84.11316158834,12.6274693877551,12.5442182087504,12.7107205667598,-1.70959183673469,-1.73337779812728,-1.68580587534211,49
"10","7 Iron","High Draw","Female",3.2,3.01168826503956,3.38831173496044,59.428,59.1351617410451,59.7208382589549,-1.48571428571429,-1.62966471534364,-1.34176385608493,89.0096124348093,88.8421417398625,89.177083129756,7.27985714285714,7.14437087342784,7.41534341228644,1.62185714285714,1.54248200810848,1.70123227760581,7
"11","7 Iron","High Straight","Female",1.3,1.18716904740437,1.41283095259563,60.3965,60.1182820795437,60.6747179204563,-1.95,-2.04187519325892,-1.85812480674108,87.6120332259604,87.4858368152963,87.7382296366246,7.982,7.88362031098734,8.08037968901266,0.130083333333333,0.0921787313930925,0.167987935273574,12
